OverallQual,GarageCars,GrLivArea,ExterQual,TotalBsmtSF,BsmtQual,FullBath,BsmtFinSF1,KitchenQual,YearBuilt,Neighborhood,CentralAir,2ndFlrSF,LotArea,OverallCond,FireplaceQu,YearRemodAdd,GarageFinish,KitchenAbvGr,GarageType,LandContour,MSZoning,LotFrontage,SaleCondition,BsmtFullBath,RoofMatl,BsmtExposure,HalfBath,BedroomAbvGr,GarageYrBlt,BsmtFinType1,SalePrice
9,3,2324,0.0,1175,0.0,3,998,0.0,2005,16.0,1.0,1142,11924,5,4.0,2006,3.0,1,3.0,3.0,3.0,85.0,5.0,1,1.0,3.0,0,4,2005,2.0,345000
5,1,912,3.0,912,4.0,1,737,3.0,1962,19.0,1.0,0,12968,6,0.0,1962,1.0,1,1.0,3.0,3.0,0.0,4.0,1,1.0,3.0,0,2,1962,0.0,144000
7,3,1494,2.0,1494,2.0,2,0,2.0,2006,5.0,1.0,0,10652,5,4.0,2007,2.0,1,5.0,3.0,3.0,91.0,5.0,0,1.0,0.0,0,3,2006,6.0,279500
6,1,1253,3.0,1253,4.0,1,733,3.0,1960,12.0,1.0,0,10920,5,2.0,1960,2.0,1,5.0,3.0,3.0,0.0,4.0,1,1.0,3.0,1,2,1960,1.0,157000
7,2,854,3.0,832,4.0,1,0,3.0,1929,3.0,1.0,0,6120,8,0.0,2001,1.0,1,1.0,3.0,4.0,51.0,4.0,0,1.0,3.0,0,2,1991,6.0,132000
6,2,1004,3.0,1004,4.0,1,578,3.0,1970,12.0,1.0,0,11241,7,3.0,1970,3.0,1,5.0,3.0,3.0,0.0,4.0,1,1.0,3.0,0,2,1970,0.0,149000
4,2,1296,3.0,0,3.0,2,0,3.0,1967,19.0,1.0,0,10791,5,0.0,1967,1.0,2,2.0,3.0,3.0,72.0,4.0,0,1.0,4.0,0,2,1967,4.0,90000
5,2,1114,3.0,1114,4.0,1,646,2.0,2004,20.0,1.0,0,13695,5,0.0,2004,1.0,1,1.0,3.0,3.0,66.0,4.0,1,1.0,3.0,1,3,2004,2.0,159000
5,1,1339,3.0,1029,4.0,1,504,3.0,1958,12.0,1.0,0,7560,6,0.0,1965,1.0,1,5.0,3.0,3.0,70.0,0.0,0,1.0,3.0,0,3,1958,3.0,139000
8,3,2376,2.0,1158,0.0,3,0,2.0,2005,16.0,1.0,1218,14215,5,4.0,2006,2.0,1,3.0,3.0,3.0,101.0,5.0,0,1.0,0.0,1,4,2005,6.0,325300
7,1,1108,3.0,637,4.0,1,0,2.0,1930,9.0,1.0,0,7449,7,4.0,1950,1.0,1,5.0,0.0,4.0,57.0,4.0,0,1.0,3.0,0,3,1930,6.0,139400
8,2,1795,2.0,1777,2.0,2,0,2.0,2002,5.0,1.0,0,9742,5,4.0,2002,2.0,1,5.0,3.0,3.0,75.0,4.0,0,1.0,3.0,0,3,2002,6.0,230000
5,2,1060,3.0,1040,2.0,1,840,3.0,1976,10.0,1.0,0,4224,7,3.0,1976,1.0,1,5.0,3.0,4.0,44.0,4.0,1,1.0,3.0,0,3,1976,2.0,129900
5,1,1060,3.0,1060,4.0,1,188,2.0,1968,19.0,1.0,0,8246,8,3.0,2001,1.0,1,5.0,3.0,3.0,0.0,4.0,1,1.0,2.0,0,3,1968,5.0,154000
8,3,1600,2.0,1566,2.0,2,0,2.0,2007,16.0,1.0,0,14230,5,4.0,2007,2.0,1,5.0,3.0,3.0,110.0,4.0,0,1.0,3.0,0,3,2007,6.0,256300
5,2,900,3.0,900,4.0,1,234,2.0,1951,12.0,1.0,0,7200,7,0.0,2000,1.0,1,1.0,3.0,3.0,60.0,4.0,0,1.0,2.0,0,3,2005,1.0,134800
8,3,1704,2.0,1704,0.0,2,1218,2.0,2007,16.0,1.0,0,11478,5,4.0,2008,2.0,1,5.0,3.0,3.0,98.0,4.0,1,1.0,3.0,0,3,2008,2.0,306000
5,1,1600,3.0,1484,4.0,1,1277,3.0,1957,12.0,1.0,0,16321,6,4.0,1997,2.0,1,5.0,3.0,3.0,47.0,4.0,1,1.0,1.0,0,2,1957,1.0,207500
4,1,520,3.0,520,4.0,1,0,1.0,1927,3.0,0.0,0,6324,6,0.0,1950,1.0,1,1.0,3.0,4.0,60.0,4.0,0,1.0,3.0,0,1,1920,6.0,68500
4,1,1317,3.0,649,4.0,1,0,3.0,1920,9.0,0.0,668,8500,4,0.0,1950,1.0,1,1.0,3.0,0.0,50.0,4.0,0,1.0,3.0,0,3,1920,6.0,40000
5,1,1228,3.0,1228,4.0,1,0,2.0,1966,19.0,1.0,0,8544,6,0.0,2006,1.0,1,5.0,3.0,3.0,0.0,4.0,0,1.0,3.0,1,3,1966,6.0,149350
8,2,1234,2.0,1234,0.0,2,0,2.0,2007,5.0,1.0,0,11049,5,0.0,2007,2.0,1,5.0,3.0,3.0,85.0,4.0,0,1.0,0.0,0,3,2007,6.0,179900
5,2,1700,3.0,1398,4.0,1,1018,2.0,1959,12.0,1.0,0,10552,5,4.0,1959,2.0,1,5.0,3.0,3.0,70.0,4.0,0,1.0,3.0,1,4,1959,5.0,165500
9,2,1561,0.0,1561,0.0,2,1153,0.0,2005,16.0,1.0,0,7313,5,4.0,2005,3.0,1,5.0,3.0,3.0,60.0,4.0,1,1.0,3.0,0,2,2005,2.0,277500
8,3,2452,2.0,1117,0.0,3,0,2.0,2004,16.0,1.0,1320,13418,5,4.0,2005,3.0,1,3.0,3.0,3.0,108.0,4.0,0,1.0,0.0,1,4,2004,6.0,309000
5,2,1097,3.0,1097,2.0,1,0,3.0,1994,5.0,1.0,0,10859,5,0.0,1995,1.0,1,5.0,3.0,3.0,112.0,4.0,0,1.0,3.0,1,3,1995,6.0,145000
5,2,1297,3.0,1297,4.0,1,1213,3.0,1954,12.0,1.0,0,8532,6,3.0,1990,3.0,1,5.0,3.0,3.0,74.0,4.0,0,1.0,3.0,0,3,1954,5.0,153000
5,1,1057,3.0,1057,4.0,1,731,2.0,1953,12.0,1.0,0,7922,7,0.0,2007,1.0,1,1.0,3.0,3.0,68.0,0.0,1,1.0,3.0,0,3,1953,2.0,109000
4,0,1152,3.0,0,3.0,2,0,1.0,1955,7.0,0.0,0,6040,5,0.0,1955,0.0,2,0.0,3.0,3.0,65.0,1.0,0,1.0,4.0,0,2,0,4.0,82000
6,2,1324,3.0,1088,4.0,2,643,3.0,1965,12.0,1.0,0,8658,5,3.0,1965,2.0,1,5.0,3.0,3.0,84.0,0.0,0,1.0,3.0,0,3,1965,5.0,160000
5,1,1328,3.0,1350,4.0,1,967,3.0,1959,23.0,1.0,0,16905,6,4.0,1959,2.0,1,5.0,3.0,3.0,115.0,4.0,0,1.0,1.0,1,2,1959,1.0,170000
5,2,884,3.0,840,2.0,1,747,2.0,1983,20.0,1.0,0,9180,7,0.0,1983,2.0,1,5.0,3.0,3.0,0.0,4.0,1,1.0,0.0,0,2,1983,0.0,144000
5,1,938,3.0,938,2.0,1,280,3.0,1975,5.0,1.0,0,9200,6,0.0,1980,1.0,1,1.0,3.0,3.0,0.0,4.0,1,1.0,0.0,0,3,1977,3.0,130250
5,1,1150,3.0,1150,4.0,1,179,3.0,1959,12.0,1.0,0,7945,6,0.0,1959,2.0,1,5.0,3.0,3.0,70.0,4.0,1,1.0,3.0,0,3,1959,0.0,141000
9,2,1752,0.0,1752,0.0,2,456,0.0,2005,16.0,1.0,0,7658,5,4.0,2005,2.0,1,5.0,3.0,3.0,61.0,4.0,1,1.0,3.0,0,2,2005,2.0,319900
7,2,2149,2.0,1434,0.0,1,1351,2.0,2003,11.0,1.0,631,12822,5,5.0,2003,2.0,1,5.0,3.0,3.0,48.0,0.0,1,1.0,3.0,1,1,2003,2.0,239686
8,3,1656,2.0,1656,2.0,2,24,2.0,2006,21.0,1.0,0,11096,5,0.0,2006,2.0,1,5.0,3.0,1.0,84.0,4.0,0,1.0,0.0,0,3,2006,2.0,249700
4,0,1452,3.0,736,4.0,2,0,3.0,1920,17.0,1.0,716,4456,5,0.0,2008,0.0,3,0.0,3.0,4.0,33.0,5.0,0,1.0,3.0,0,2,0,6.0,113000
5,1,955,3.0,955,4.0,1,763,3.0,1966,19.0,1.0,0,7742,7,0.0,1966,1.0,1,5.0,3.0,3.0,66.0,4.0,1,1.0,3.0,0,3,1966,1.0,127000
6,2,1470,3.0,794,2.0,2,182,3.0,1997,8.0,1.0,676,13869,6,0.0,1997,3.0,1,5.0,3.0,3.0,0.0,4.0,0,1.0,0.0,0,3,1997,2.0,177000
6,2,1176,3.0,816,4.0,1,0,3.0,1934,3.0,1.0,0,6240,6,4.0,1950,1.0,1,1.0,3.0,4.0,52.0,4.0,0,1.0,3.0,0,3,1985,6.0,114500
5,2,816,1.0,816,2.0,1,104,3.0,1963,9.0,0.0,0,8472,5,0.0,1963,1.0,1,2.0,0.0,4.0,110.0,4.0,1,1.0,1.0,0,2,1963,3.0,110000
9,3,1842,2.0,1842,0.0,0,1810,2.0,1981,24.0,1.0,0,50271,5,4.0,1987,3.0,1,5.0,2.0,3.0,68.0,4.0,2,7.0,1.0,1,0,1981,2.0,385000
5,2,1360,3.0,384,4.0,1,384,3.0,1955,12.0,1.0,0,7134,5,3.0,1955,1.0,1,1.0,0.0,3.0,60.0,4.0,0,1.0,3.0,0,3,1962,0.0,130000
6,2,1425,3.0,1425,4.0,2,490,3.0,1964,12.0,1.0,0,10175,5,4.0,1964,2.0,1,5.0,3.0,3.0,100.0,4.0,0,1.0,3.0,0,3,1964,1.0,180500
8,2,1739,2.0,970,2.0,2,649,2.0,1999,21.0,1.0,756,2645,5,0.0,2000,3.0,1,5.0,3.0,1.0,24.0,0.0,1,1.0,3.0,1,3,1999,2.0,172500
7,2,1720,2.0,860,2.0,2,0,2.0,2004,5.0,1.0,860,11645,5,0.0,2004,2.0,1,5.0,3.0,3.0,89.0,4.0,0,1.0,3.0,1,3,2004,6.0,196500
10,3,2945,0.0,1410,0.0,3,0,2.0,2006,22.0,1.0,1519,13682,5,4.0,2006,3.0,1,3.0,1.0,3.0,66.0,5.0,0,1.0,1.0,1,3,2006,6.0,438780
5,1,780,3.0,780,4.0,1,632,3.0,1972,5.0,1.0,0,7200,7,0.0,1972,1.0,1,1.0,0.0,3.0,60.0,4.0,0,1.0,0.0,0,2,1973,0.0,124900
6,2,1158,3.0,1158,2.0,1,941,2.0,2004,20.0,1.0,0,13072,5,0.0,2004,1.0,1,1.0,3.0,3.0,63.0,5.0,1,1.0,3.0,1,3,2006,0.0,158000
5,1,1111,3.0,530,4.0,1,0,1.0,1920,9.0,0.0,530,7200,7,0.0,1996,1.0,1,1.0,3.0,4.0,60.0,4.0,0,1.0,3.0,0,3,1935,6.0,101000
8,2,1370,2.0,1370,2.0,2,24,2.0,2006,16.0,1.0,0,6442,5,4.0,2006,2.0,1,5.0,3.0,3.0,44.0,4.0,0,1.0,2.0,0,2,2006,2.0,202500
7,2,1710,3.0,576,4.0,2,0,3.0,1921,17.0,1.0,808,10300,6,0.0,1950,1.0,1,1.0,0.0,4.0,50.0,4.0,0,1.0,3.0,0,3,1990,6.0,140000
7,2,2034,3.0,1057,2.0,2,739,2.0,1997,5.0,1.0,977,9375,5,0.0,1998,2.0,1,5.0,3.0,3.0,0.0,4.0,1,1.0,3.0,1,3,1998,2.0,219500
8,3,2473,2.0,1143,0.0,2,0,2.0,2004,16.0,1.0,1330,9591,5,4.0,2005,2.0,1,3.0,3.0,3.0,76.0,4.0,0,1.0,0.0,1,4,2004,6.0,317000
7,2,2207,3.0,1947,2.0,2,912,3.0,1970,12.0,1.0,0,19900,5,4.0,1989,2.0,1,5.0,3.0,3.0,0.0,4.0,1,1.0,1.0,0,3,1970,2.0,180000
7,2,1479,2.0,1453,2.0,2,1013,2.0,2003,5.0,1.0,0,10665,5,0.0,2003,2.0,1,5.0,3.0,3.0,72.0,4.0,1,1.0,0.0,0,3,2003,2.0,226000
4,1,747,3.0,747,4.0,1,0,3.0,1945,17.0,1.0,0,4608,6,0.0,1950,1.0,1,5.0,3.0,4.0,47.0,4.0,0,1.0,3.0,0,2,1945,6.0,80000
7,2,2287,2.0,1304,4.0,2,603,3.0,1953,4.0,1.0,983,15593,4,3.0,1953,3.0,1,5.0,3.0,3.0,81.0,4.0,0,1.0,3.0,0,3,1953,1.0,225000
7,2,2223,3.0,2223,2.0,2,1880,3.0,1973,12.0,1.0,0,13651,6,4.0,1973,3.0,1,5.0,3.0,3.0,95.0,4.0,1,1.0,1.0,0,3,1973,0.0,244000
4,2,845,3.0,845,4.0,1,565,3.0,1982,11.0,1.0,0,7599,6,0.0,2006,1.0,1,1.0,3.0,3.0,69.0,4.0,1,1.0,3.0,0,2,1987,0.0,129500
7,2,1718,3.0,832,2.0,2,0,3.0,1998,8.0,1.0,833,10141,5,3.0,1998,3.0,1,5.0,3.0,3.0,74.0,4.0,0,1.0,3.0,1,3,1998,6.0,185000
5,2,1086,3.0,1086,4.0,1,320,3.0,1954,12.0,1.0,0,10200,7,0.0,2003,1.0,1,5.0,3.0,3.0,85.0,4.0,1,1.0,3.0,0,3,1989,0.0,144900
3,1,1605,2.0,840,1.0,2,0,3.0,1915,17.0,0.0,765,5790,6,0.0,1950,1.0,2,1.0,3.0,4.0,60.0,4.0,0,1.0,3.0,0,3,1915,6.0,107400
4,1,988,3.0,462,2.0,1,462,3.0,1973,10.0,1.0,462,1596,5,0.0,1973,1.0,1,3.0,3.0,4.0,21.0,4.0,1,1.0,1.0,0,2,1973,2.0,91000
4,1,952,3.0,952,4.0,1,228,3.0,1956,12.0,1.0,0,8475,7,0.0,1956,1.0,1,1.0,3.0,3.0,0.0,4.0,0,1.0,3.0,0,2,1956,0.0,135750
5,1,1285,3.0,672,4.0,1,336,3.0,1948,3.0,1.0,213,8635,5,0.0,2001,1.0,1,1.0,3.0,4.0,50.0,4.0,1,1.0,3.0,0,2,1948,1.0,127000
4,0,1768,3.0,1768,4.0,2,0,3.0,1968,19.0,0.0,0,10778,5,0.0,1968,0.0,2,0.0,3.0,3.0,72.0,4.0,0,1.0,3.0,0,4,0,6.0,136500
5,2,1230,3.0,440,4.0,1,0,3.0,1910,17.0,1.0,548,10440,6,0.0,1981,1.0,1,1.0,3.0,4.0,60.0,4.0,0,1.0,3.0,1,2,1966,6.0,110000
6,1,2142,3.0,896,2.0,2,448,2.0,1968,12.0,1.0,960,13000,6,4.0,1968,3.0,1,5.0,3.0,3.0,100.0,4.0,0,1.0,3.0,1,4,1968,5.0,193500
6,2,1337,3.0,1237,0.0,2,1201,3.0,1998,11.0,1.0,0,4500,5,0.0,1998,3.0,1,5.0,3.0,4.0,32.0,4.0,1,1.0,3.0,0,2,1998,2.0,153500
8,3,1563,3.0,1563,2.0,2,33,2.0,2007,21.0,1.0,0,10206,5,4.0,2007,2.0,1,5.0,3.0,3.0,78.0,4.0,0,1.0,3.0,0,3,2007,2.0,245000
5,2,1065,3.0,1065,4.0,1,0,3.0,1960,12.0,1.0,0,8892,5,0.0,1960,1.0,1,1.0,3.0,3.0,80.0,4.0,0,1.0,3.0,1,3,1974,6.0,126500
7,2,1474,3.0,384,2.0,2,0,3.0,1995,8.0,1.0,670,8530,5,3.0,1996,3.0,1,3.0,3.0,3.0,0.0,4.0,0,1.0,3.0,1,3,1995,6.0,168500
8,2,2417,2.0,1288,2.0,2,0,2.0,1991,15.0,1.0,1116,16059,5,3.0,1992,1.0,1,5.0,3.0,3.0,121.0,4.0,0,1.0,3.0,1,4,1991,6.0,260000
6,2,1560,2.0,684,2.0,2,0,2.0,2005,8.0,1.0,876,11911,5,4.0,2005,3.0,1,3.0,3.0,3.0,122.0,4.0,0,1.0,0.0,1,3,2005,6.0,174000
6,2,1224,2.0,612,2.0,2,0,2.0,2009,21.0,1.0,612,3951,5,0.0,2009,2.0,1,1.0,3.0,1.0,40.0,5.0,0,1.0,0.0,1,2,2009,6.0,164500
3,0,1526,1.0,1013,4.0,1,0,1.0,1915,9.0,0.0,0,8470,2,0.0,1982,0.0,1,0.0,3.0,0.0,105.0,0.0,0,1.0,3.0,0,2,0,6.0,85000
4,0,990,3.0,990,2.0,1,588,3.0,1994,5.0,1.0,0,8070,5,0.0,1995,0.0,1,0.0,3.0,3.0,60.0,4.0,1,1.0,3.0,0,3,0,2.0,123600
4,2,1040,3.0,0,3.0,1,0,3.0,1950,12.0,1.0,0,7200,5,0.0,1950,1.0,1,1.0,3.0,3.0,60.0,4.0,0,1.0,4.0,0,2,1950,4.0,109900
5,2,1235,3.0,1235,4.0,1,600,3.0,1961,12.0,1.0,0,8500,3,0.0,1961,1.0,1,5.0,3.0,3.0,85.0,0.0,0,1.0,3.0,0,2,1961,5.0,98600
5,2,964,3.0,876,2.0,1,713,3.0,1921,6.0,1.0,0,13360,7,0.0,2006,1.0,1,1.0,1.0,3.0,80.0,4.0,1,1.0,3.0,0,2,1921,0.0,163500
6,2,2291,3.0,1214,4.0,2,1046,3.0,1910,17.0,0.0,1031,7200,6,4.0,1998,1.0,2,1.0,3.0,0.0,60.0,4.0,0,1.0,2.0,0,4,1900,5.0,133900
6,2,1786,3.0,824,2.0,2,648,2.0,1997,5.0,1.0,881,9337,5,0.0,1997,2.0,1,5.0,3.0,3.0,69.0,4.0,1,1.0,3.0,1,3,1997,2.0,204750
6,2,1470,0.0,680,2.0,2,310,3.0,1993,8.0,1.0,790,9765,8,3.0,1993,3.0,1,3.0,3.0,3.0,0.0,4.0,0,1.0,3.0,1,3,1993,0.0,185000
7,2,1588,2.0,1588,2.0,2,1162,2.0,1999,5.0,1.0,0,10264,5,0.0,1999,2.0,1,5.0,3.0,3.0,78.0,4.0,0,1.0,0.0,0,3,1999,0.0,214000
4,1,960,3.0,960,4.0,1,520,3.0,1965,7.0,1.0,0,10921,5,0.0,1965,3.0,1,5.0,1.0,3.0,73.0,4.0,1,1.0,3.0,0,3,1965,5.0,94750
5,1,835,3.0,458,4.0,1,108,3.0,1920,7.0,0.0,0,10625,5,0.0,1950,1.0,1,4.0,3.0,3.0,85.0,0.0,0,1.0,3.0,0,2,1920,0.0,83000
4,0,1225,3.0,950,4.0,1,569,3.0,1959,12.0,1.0,0,9320,5,0.0,1959,0.0,1,0.0,3.0,3.0,77.0,4.0,1,1.0,3.0,1,3,0,0.0,128950
6,2,1610,3.0,1610,4.0,2,1200,2.0,1977,14.0,1.0,0,10603,7,3.0,2001,2.0,1,5.0,3.0,3.0,0.0,4.0,1,1.0,2.0,0,3,1977,0.0,205000
6,2,1732,2.0,741,2.0,2,0,2.0,1985,20.0,1.0,755,9206,5,3.0,1985,3.0,1,5.0,3.0,3.0,77.0,4.0,0,1.0,3.0,1,3,1985,6.0,178000
5,2,1535,3.0,0,3.0,2,0,3.0,1979,20.0,1.0,0,7018,5,0.0,1979,1.0,2,5.0,0.0,3.0,64.0,2.0,0,1.0,4.0,0,4,1979,4.0,118964
7,3,1226,3.0,1226,2.0,2,0,2.0,2009,5.0,1.0,0,10402,5,0.0,2009,2.0,1,5.0,3.0,3.0,94.0,4.0,0,1.0,3.0,0,3,2009,6.0,198900
7,1,1818,3.0,1040,4.0,1,224,3.0,1931,9.0,1.0,592,7758,4,3.0,1950,1.0,1,1.0,3.0,4.0,0.0,4.0,0,1.0,3.0,1,4,1951,3.0,169500
8,2,1992,2.0,1053,0.0,2,0,2.0,2003,21.0,1.0,939,9375,5,4.0,2004,2.0,1,5.0,3.0,1.0,75.0,4.0,0,1.0,3.0,1,3,2003,6.0,250000
4,1,1047,3.0,641,1.0,1,0,3.0,1885,17.0,1.0,0,10800,7,0.0,1995,1.0,1,1.0,3.0,4.0,60.0,4.0,0,1.0,3.0,0,2,1954,6.0,100000
5,1,789,3.0,789,4.0,1,104,3.0,1948,17.0,1.0,0,6000,5,0.0,1950,1.0,1,1.0,3.0,4.0,50.0,5.0,0,1.0,3.0,0,2,1948,0.0,115000
5,0,1517,3.0,793,4.0,2,0,1.0,1919,9.0,0.0,520,8500,7,0.0,2005,0.0,1,0.0,3.0,4.0,85.0,4.0,0,1.0,3.0,0,3,0,6.0,115000
6,2,1844,3.0,1844,2.0,2,705,3.0,1977,14.0,1.0,0,11751,6,3.0,1977,2.0,1,5.0,3.0,3.0,105.0,4.0,0,1.0,3.0,0,3,1977,1.0,190000
6,1,1855,3.0,994,4.0,2,444,3.0,1954,7.0,1.0,639,9525,4,0.0,1972,1.0,1,5.0,3.0,3.0,75.0,4.0,0,1.0,3.0,0,4,1954,5.0,136900
7,2,1430,3.0,384,2.0,2,250,3.0,2000,8.0,1.0,656,7750,5,3.0,2000,3.0,1,3.0,3.0,3.0,0.0,4.0,0,1.0,3.0,1,3,2000,2.0,180000
7,3,2696,2.0,1264,0.0,2,984,0.0,2007,5.0,1.0,1414,9965,5,4.0,2007,3.0,1,3.0,3.0,3.0,77.0,5.0,1,1.0,0.0,1,4,2007,2.0,383970
6,2,2259,3.0,1809,2.0,2,35,2.0,1953,6.0,1.0,0,21000,5,4.0,1953,1.0,1,4.0,0.0,3.0,0.0,0.0,1,1.0,2.0,0,3,1953,0.0,217000
6,1,2320,3.0,1028,4.0,2,774,2.0,1945,6.0,1.0,884,7259,8,3.0,2002,1.0,1,1.0,3.0,3.0,61.0,4.0,1,1.0,3.0,1,3,1945,0.0,259500
6,2,1458,3.0,729,2.0,2,419,3.0,1999,21.0,1.0,729,3230,5,2.0,1999,1.0,1,1.0,3.0,1.0,34.0,4.0,0,1.0,3.0,1,2,1999,2.0,176000
5,1,1092,3.0,1092,4.0,1,170,3.0,1962,19.0,1.0,0,11616,5,1.0,1962,1.0,1,5.0,3.0,3.0,0.0,4.0,0,1.0,3.0,0,3,1962,3.0,139000
5,2,1125,3.0,1125,2.0,1,0,3.0,2006,7.0,1.0,0,8536,5,0.0,2007,1.0,1,5.0,3.0,3.0,74.0,5.0,0,1.0,3.0,1,2,2007,6.0,155000
7,3,3222,3.0,1673,2.0,3,1470,2.0,1990,20.0,1.0,1523,12376,5,3.0,1990,1.0,1,5.0,3.0,3.0,90.0,4.0,1,1.0,2.0,0,5,1990,2.0,320000
6,2,1456,2.0,728,2.0,2,0,2.0,2005,5.0,1.0,728,8461,5,4.0,2006,3.0,1,5.0,3.0,3.0,65.0,5.0,0,1.0,3.0,1,3,2005,6.0,163990
6,2,988,3.0,938,4.0,1,938,3.0,1969,4.0,1.0,0,21453,5,3.0,1969,1.0,1,5.0,2.0,3.0,0.0,4.0,1,3.0,1.0,0,1,1969,0.0,180000
4,1,1123,3.0,732,4.0,1,0,3.0,1939,9.0,1.0,351,6060,5,0.0,1950,1.0,1,1.0,3.0,4.0,50.0,4.0,0,1.0,3.0,0,3,1979,6.0,100000
6,1,1080,3.0,1080,4.0,1,570,3.0,1958,12.0,1.0,0,9464,7,0.0,1958,1.0,1,5.0,3.0,3.0,75.0,4.0,0,1.0,3.0,0,3,1958,1.0,136000
6,2,1199,2.0,1199,2.0,2,300,2.0,1993,20.0,1.0,0,7892,5,0.0,1993,2.0,1,5.0,3.0,3.0,55.0,4.0,0,1.0,3.0,0,2,1993,2.0,153900
6,2,1586,3.0,1362,2.0,2,0,3.0,1979,14.0,1.0,0,17043,5,3.0,1998,1.0,1,5.0,3.0,3.0,48.0,4.0,0,1.0,3.0,0,3,1979,6.0,181000
6,0,754,3.0,520,4.0,1,490,3.0,1935,9.0,0.0,0,6780,8,0.0,1982,0.0,1,0.0,3.0,4.0,60.0,4.0,1,1.0,0.0,0,2,0,2.0,84500
6,2,958,3.0,1078,2.0,2,120,3.0,1976,13.0,1.0,0,4928,5,3.0,1976,2.0,1,5.0,3.0,3.0,0.0,4.0,0,1.0,3.0,0,2,1977,0.0,128000
5,0,840,3.0,672,4.0,1,116,3.0,1930,17.0,1.0,0,4388,7,3.0,1950,0.0,1,0.0,0.0,4.0,55.0,4.0,0,1.0,3.0,0,3,0,3.0,87000
6,2,1348,3.0,660,4.0,1,512,3.0,1966,12.0,1.0,688,7590,5,2.0,1966,2.0,1,5.0,3.0,3.0,69.0,4.0,0,1.0,3.0,1,3,1966,1.0,155000
5,2,1053,3.0,1008,4.0,1,567,0.0,1958,12.0,1.0,0,8973,7,0.0,1991,2.0,1,6.0,3.0,3.0,69.0,0.0,0,1.0,3.0,1,3,1998,5.0,150000
7,2,2157,3.0,924,4.0,2,445,2.0,1966,12.0,1.0,941,14200,6,4.0,1966,3.0,1,5.0,3.0,3.0,88.0,4.0,0,1.0,3.0,1,4,1966,5.0,226000
6,2,2054,2.0,992,2.0,2,695,2.0,2000,8.0,1.0,1032,12224,5,3.0,2000,2.0,1,3.0,3.0,3.0,0.0,4.0,1,1.0,3.0,1,3,2000,2.0,244000
5,2,1327,3.0,1063,4.0,1,405,2.0,1959,12.0,1.0,0,7388,6,0.0,2002,1.0,1,1.0,3.0,3.0,75.0,4.0,1,1.0,3.0,0,3,1974,5.0,150750
8,2,1296,2.0,1267,0.0,2,1005,2.0,2001,23.0,1.0,0,6853,5,0.0,2002,3.0,1,5.0,3.0,3.0,0.0,4.0,1,1.0,3.0,0,2,2001,2.0,220000
