OverallQual,GarageCars,ExterQual,BsmtQual,GrLivArea,GarageFinish,FullBath,GarageType,FireplaceQu,KitchenQual,TotalBsmtSF,2ndFlrSF,CentralAir,1stFlrSF,BsmtFinSF1,TotRmsAbvGrd,YearRemodAdd,Fireplaces,LandContour,YearBuilt,BsmtFinType1,GarageCond,LotArea,BsmtExposure,GarageArea,HalfBath,KitchenAbvGr,MSZoning,Neighborhood,OpenPorchSF,SalePrice
7,2,3.0,2.0,2207,2.0,2,5.0,4.0,3.0,1947,0,1.0,2207,912,7,1989,1,3.0,1970,2.0,5.0,19900,1.0,576,0,1,3.0,12.0,0,180000
7,2,2.0,2.0,1479,2.0,2,5.0,0.0,2.0,1453,0,1.0,1479,1013,7,2003,0,3.0,2003,2.0,5.0,10665,0.0,558,0,1,3.0,5.0,29,226000
4,1,3.0,4.0,747,1.0,1,5.0,0.0,3.0,747,0,1.0,747,0,4,1950,0,3.0,1945,6.0,5.0,4608,3.0,220,0,1,4.0,17.0,0,80000
7,2,2.0,4.0,2287,3.0,2,5.0,3.0,3.0,1304,983,1.0,1304,603,7,1953,1,3.0,1953,1.0,5.0,15593,3.0,667,0,1,3.0,4.0,21,225000
7,2,3.0,2.0,2223,3.0,2,5.0,4.0,3.0,2223,0,1.0,2223,1880,8,1973,2,3.0,1973,0.0,5.0,13651,1.0,516,0,1,3.0,12.0,0,244000
4,2,3.0,4.0,845,1.0,1,1.0,0.0,3.0,845,0,1.0,845,565,4,2006,0,3.0,1982,0.0,5.0,7599,3.0,360,0,1,3.0,11.0,0,129500
7,2,3.0,2.0,1718,3.0,2,5.0,3.0,3.0,832,833,1.0,885,0,7,1998,1,3.0,1998,6.0,5.0,10141,3.0,427,1,1,3.0,8.0,94,185000
5,2,3.0,4.0,1086,1.0,1,5.0,0.0,3.0,1086,0,1.0,1086,320,6,2003,0,3.0,1954,0.0,5.0,10200,3.0,490,0,1,3.0,12.0,0,144900
3,1,2.0,1.0,1605,1.0,2,1.0,0.0,3.0,840,765,0.0,840,0,8,1950,0,3.0,1915,6.0,5.0,5790,3.0,379,0,2,4.0,17.0,0,107400
4,1,3.0,2.0,988,1.0,1,3.0,0.0,3.0,462,462,1.0,526,462,5,1973,0,3.0,1973,2.0,5.0,1596,1.0,297,0,1,4.0,10.0,101,91000
4,1,3.0,4.0,952,1.0,1,1.0,0.0,3.0,952,0,1.0,952,228,4,1956,0,3.0,1956,0.0,5.0,8475,3.0,283,0,1,3.0,12.0,0,135750
5,1,3.0,4.0,1285,1.0,1,1.0,0.0,3.0,672,213,1.0,1072,336,6,2001,0,3.0,1948,1.0,5.0,8635,3.0,240,0,1,4.0,3.0,0,127000
4,0,3.0,4.0,1768,0.0,2,0.0,0.0,3.0,1768,0,0.0,1768,0,8,1968,0,3.0,1968,6.0,3.0,10778,3.0,0,0,2,3.0,19.0,0,136500
5,2,3.0,4.0,1230,1.0,1,1.0,0.0,3.0,440,548,1.0,682,0,5,1981,0,3.0,1910,6.0,5.0,10440,3.0,440,1,1,4.0,17.0,0,110000
6,1,3.0,2.0,2142,3.0,2,5.0,4.0,2.0,896,960,1.0,1182,448,8,1968,1,3.0,1968,5.0,5.0,13000,3.0,509,1,1,3.0,12.0,72,193500
6,2,3.0,0.0,1337,3.0,2,5.0,0.0,3.0,1237,0,1.0,1337,1201,5,1998,0,3.0,1998,2.0,5.0,4500,3.0,405,0,1,4.0,11.0,199,153500
8,3,3.0,2.0,1563,2.0,2,5.0,4.0,2.0,1563,0,1.0,1563,33,6,2007,1,3.0,2007,2.0,5.0,10206,3.0,758,0,1,3.0,21.0,99,245000
5,2,3.0,4.0,1065,1.0,1,1.0,0.0,3.0,1065,0,1.0,1065,0,6,1960,0,3.0,1960,6.0,5.0,8892,3.0,461,1,1,3.0,12.0,0,126500
7,2,3.0,2.0,1474,3.0,2,3.0,3.0,3.0,384,670,1.0,804,0,7,1996,1,3.0,1995,6.0,5.0,8530,3.0,400,1,1,3.0,8.0,72,168500
8,2,2.0,2.0,2417,1.0,2,5.0,3.0,2.0,1288,1116,1.0,1301,0,9,1992,1,3.0,1991,6.0,5.0,16059,3.0,462,1,1,3.0,15.0,82,260000
6,2,2.0,2.0,1560,3.0,2,3.0,4.0,2.0,684,876,1.0,684,0,6,2005,1,3.0,2005,6.0,5.0,11911,0.0,400,1,1,3.0,8.0,38,174000
6,2,2.0,2.0,1224,2.0,2,1.0,0.0,2.0,612,612,1.0,612,0,4,2009,0,3.0,2009,6.0,5.0,3951,0.0,528,1,1,1.0,21.0,234,164500
3,0,1.0,4.0,1526,0.0,1,0.0,0.0,1.0,1013,0,0.0,1013,0,6,1982,0,3.0,1915,6.0,3.0,8470,3.0,0,0,1,0.0,9.0,0,85000
4,0,3.0,2.0,990,0.0,1,0.0,0.0,3.0,990,0,1.0,990,588,5,1995,0,3.0,1994,2.0,3.0,8070,3.0,0,0,1,3.0,5.0,0,123600
4,2,3.0,3.0,1040,1.0,1,1.0,0.0,3.0,0,0,1.0,1040,0,4,1950,0,3.0,1950,4.0,5.0,7200,4.0,420,0,1,3.0,12.0,29,109900
5,2,3.0,4.0,1235,1.0,1,5.0,0.0,3.0,1235,0,1.0,1235,600,6,1961,0,3.0,1961,5.0,5.0,8500,3.0,480,0,1,3.0,12.0,0,98600
5,2,3.0,2.0,964,1.0,1,1.0,0.0,3.0,876,0,1.0,964,713,5,2006,0,1.0,1921,0.0,5.0,13360,3.0,432,0,1,3.0,6.0,0,163500
6,2,3.0,4.0,2291,1.0,2,1.0,4.0,3.0,1214,1031,0.0,1260,1046,9,1998,1,3.0,1910,5.0,5.0,7200,2.0,506,0,2,0.0,17.0,0,133900
6,2,3.0,2.0,1786,2.0,2,5.0,0.0,2.0,824,881,1.0,905,648,7,1997,0,3.0,1997,2.0,5.0,9337,3.0,684,1,1,3.0,5.0,162,204750
6,2,0.0,2.0,1470,3.0,2,3.0,3.0,3.0,680,790,1.0,680,310,6,1993,1,3.0,1993,0.0,5.0,9765,3.0,420,1,1,3.0,8.0,63,185000
7,2,2.0,2.0,1588,2.0,2,5.0,0.0,2.0,1588,0,1.0,1588,1162,6,1999,0,3.0,1999,0.0,5.0,10264,0.0,472,0,1,3.0,5.0,29,214000
4,1,3.0,4.0,960,3.0,1,5.0,0.0,3.0,960,0,1.0,960,520,6,1965,0,1.0,1965,5.0,5.0,10921,3.0,432,0,1,3.0,7.0,0,94750
5,1,3.0,4.0,835,1.0,1,4.0,0.0,3.0,458,0,0.0,835,108,5,1950,0,3.0,1920,0.0,5.0,10625,3.0,366,0,1,3.0,7.0,0,83000
4,0,3.0,4.0,1225,0.0,1,0.0,0.0,3.0,950,0,1.0,1225,569,6,1959,0,3.0,1959,0.0,3.0,9320,3.0,0,1,1,3.0,12.0,0,128950
6,2,3.0,4.0,1610,2.0,2,5.0,3.0,2.0,1610,0,1.0,1610,1200,6,2001,2,3.0,1977,0.0,5.0,10603,2.0,480,0,1,3.0,14.0,68,205000
6,2,2.0,2.0,1732,3.0,2,5.0,3.0,2.0,741,755,1.0,977,0,7,1985,1,3.0,1985,6.0,5.0,9206,3.0,476,1,1,3.0,20.0,46,178000
5,2,3.0,3.0,1535,1.0,2,5.0,0.0,3.0,0,0,1.0,1535,0,8,1979,0,0.0,1979,4.0,5.0,7018,4.0,410,0,2,3.0,20.0,0,118964
7,3,3.0,2.0,1226,2.0,2,5.0,0.0,2.0,1226,0,1.0,1226,0,6,2009,0,3.0,2009,6.0,5.0,10402,3.0,740,0,1,3.0,5.0,36,198900
7,1,3.0,4.0,1818,1.0,1,1.0,3.0,3.0,1040,592,1.0,1226,224,7,1950,2,3.0,1931,3.0,5.0,7758,3.0,240,1,1,4.0,9.0,0,169500
8,2,2.0,0.0,1992,2.0,2,5.0,4.0,2.0,1053,939,1.0,1053,0,9,2004,1,3.0,2003,6.0,5.0,9375,3.0,648,1,1,1.0,21.0,45,250000
4,1,3.0,1.0,1047,1.0,1,1.0,0.0,3.0,641,0,1.0,1047,0,6,1995,0,3.0,1885,6.0,1.0,10800,3.0,273,0,1,4.0,17.0,0,100000
5,1,3.0,4.0,789,1.0,1,1.0,0.0,3.0,789,0,1.0,789,104,5,1950,0,3.0,1948,0.0,5.0,6000,3.0,250,0,1,4.0,17.0,0,115000
5,0,3.0,4.0,1517,0.0,2,0.0,0.0,1.0,793,520,0.0,997,0,7,2005,0,3.0,1919,6.0,3.0,8500,3.0,0,0,1,4.0,9.0,0,115000
6,2,3.0,2.0,1844,2.0,2,5.0,3.0,3.0,1844,0,1.0,1844,705,7,1977,1,3.0,1977,1.0,5.0,11751,3.0,546,0,1,3.0,14.0,122,190000
6,1,3.0,4.0,1855,1.0,2,5.0,0.0,3.0,994,639,1.0,1216,444,7,1972,0,3.0,1954,5.0,5.0,9525,3.0,325,0,1,3.0,7.0,0,136900
7,2,3.0,2.0,1430,3.0,2,3.0,3.0,3.0,384,656,1.0,774,250,7,2000,1,3.0,2000,2.0,5.0,7750,3.0,400,1,1,3.0,8.0,0,180000
7,3,2.0,0.0,2696,3.0,2,3.0,4.0,0.0,1264,1414,1.0,1282,984,10,2007,1,3.0,2007,2.0,5.0,9965,0.0,792,1,1,3.0,5.0,184,383970
6,2,3.0,2.0,2259,1.0,2,4.0,4.0,2.0,1809,0,1.0,2259,35,7,1953,2,0.0,1953,0.0,5.0,21000,2.0,450,0,1,3.0,6.0,120,217000
6,1,3.0,4.0,2320,1.0,2,1.0,3.0,2.0,1028,884,1.0,1436,774,9,2002,1,3.0,1945,0.0,5.0,7259,3.0,180,1,1,3.0,6.0,0,259500
6,2,3.0,2.0,1458,1.0,2,1.0,2.0,3.0,729,729,1.0,729,419,5,1999,1,3.0,1999,2.0,5.0,3230,3.0,440,1,1,1.0,21.0,32,176000
5,1,3.0,4.0,1092,1.0,1,5.0,1.0,3.0,1092,0,1.0,1092,170,6,1962,1,3.0,1962,3.0,5.0,11616,3.0,288,0,1,3.0,19.0,20,139000
5,2,3.0,2.0,1125,1.0,1,5.0,0.0,3.0,1125,0,1.0,1125,0,5,2007,0,3.0,2006,6.0,5.0,8536,3.0,430,1,1,3.0,7.0,64,155000
7,3,3.0,2.0,3222,1.0,3,5.0,3.0,2.0,1673,1523,1.0,1699,1470,11,1990,2,3.0,1990,2.0,5.0,12376,2.0,594,0,1,3.0,20.0,0,320000
6,2,2.0,2.0,1456,3.0,2,5.0,4.0,2.0,728,728,1.0,728,0,8,2006,1,3.0,2005,6.0,5.0,8461,3.0,390,1,1,3.0,5.0,24,163990
6,2,3.0,4.0,988,1.0,1,5.0,3.0,3.0,938,0,1.0,988,938,4,1969,2,2.0,1969,0.0,5.0,21453,1.0,540,0,1,3.0,4.0,130,180000
4,1,3.0,4.0,1123,1.0,1,1.0,0.0,3.0,732,351,1.0,772,0,4,1950,0,3.0,1939,6.0,5.0,6060,3.0,264,0,1,4.0,9.0,0,100000
6,1,3.0,4.0,1080,1.0,1,5.0,0.0,3.0,1080,0,1.0,1080,570,5,1958,0,3.0,1958,1.0,5.0,9464,3.0,288,0,1,3.0,12.0,0,136000
6,2,2.0,2.0,1199,2.0,2,5.0,0.0,2.0,1199,0,1.0,1199,300,5,1993,0,3.0,1993,2.0,5.0,7892,3.0,530,0,1,3.0,20.0,63,153900
6,2,3.0,2.0,1586,1.0,2,5.0,3.0,3.0,1362,0,1.0,1586,0,7,1998,1,3.0,1979,6.0,5.0,17043,3.0,435,0,1,3.0,14.0,0,181000
6,0,3.0,4.0,754,0.0,1,0.0,0.0,3.0,520,0,0.0,520,490,5,1982,0,3.0,1935,2.0,3.0,6780,0.0,0,0,1,4.0,9.0,0,84500
6,2,3.0,2.0,958,2.0,2,5.0,3.0,3.0,1078,0,1.0,958,120,5,1976,1,3.0,1976,0.0,5.0,4928,3.0,440,0,1,3.0,13.0,205,128000
5,0,3.0,4.0,840,0.0,1,0.0,3.0,3.0,672,0,1.0,840,116,5,1950,1,0.0,1930,3.0,3.0,4388,3.0,0,0,1,4.0,17.0,0,87000
6,2,3.0,4.0,1348,2.0,1,5.0,2.0,3.0,660,688,1.0,660,512,6,1966,1,3.0,1966,1.0,5.0,7590,3.0,453,1,1,3.0,12.0,108,155000
5,2,3.0,4.0,1053,2.0,1,6.0,0.0,0.0,1008,0,1.0,1053,567,6,1991,0,3.0,1958,5.0,5.0,8973,3.0,750,1,1,3.0,12.0,80,150000
7,2,3.0,4.0,2157,3.0,2,5.0,4.0,2.0,924,941,1.0,1216,445,8,1966,2,3.0,1966,5.0,5.0,14200,3.0,487,1,1,3.0,12.0,66,226000
6,2,2.0,2.0,2054,2.0,2,3.0,3.0,2.0,992,1032,1.0,1022,695,7,2000,1,3.0,2000,2.0,5.0,12224,3.0,390,1,1,3.0,8.0,48,244000
5,2,3.0,4.0,1327,1.0,1,1.0,0.0,2.0,1063,0,1.0,1327,405,7,2002,0,3.0,1959,5.0,5.0,7388,3.0,624,0,1,3.0,12.0,0,150750
8,2,2.0,0.0,1296,3.0,2,5.0,0.0,2.0,1267,0,1.0,1296,1005,6,2002,0,3.0,2001,2.0,5.0,6853,3.0,471,0,1,3.0,23.0,25,220000
5,2,3.0,4.0,1721,2.0,2,5.0,3.0,3.0,1461,0,1.0,1721,570,7,1993,1,3.0,1968,5.0,5.0,10335,3.0,440,1,1,3.0,19.0,96,180000
7,2,3.0,4.0,1682,1.0,2,5.0,4.0,3.0,1304,0,1.0,1682,0,7,1970,1,3.0,1970,6.0,5.0,10400,3.0,530,0,1,3.0,14.0,0,174000
5,1,3.0,4.0,1214,2.0,2,5.0,2.0,3.0,1214,0,1.0,1214,695,5,1967,1,3.0,1967,1.0,5.0,10355,3.0,318,0,1,3.0,12.0,111,143000
7,3,3.0,4.0,1959,1.0,3,6.0,0.0,3.0,1907,0,1.0,1959,0,9,1989,0,3.0,1988,6.0,5.0,11070,3.0,766,0,2,3.0,11.0,0,171000
8,3,2.0,2.0,1852,3.0,2,5.0,3.0,2.0,1004,848,1.0,1004,668,7,2000,2,3.0,1999,2.0,5.0,9066,2.0,660,1,1,3.0,5.0,106,230000
6,2,3.0,2.0,1764,2.0,2,5.0,0.0,2.0,928,836,1.0,928,821,7,1997,0,3.0,1997,2.0,5.0,15426,3.0,470,1,1,3.0,5.0,99,231500
4,0,3.0,4.0,864,0.0,1,0.0,1.0,3.0,864,0,1.0,864,432,5,1971,1,3.0,1971,0.0,3.0,10500,3.0,0,0,1,3.0,12.0,0,115000
7,2,2.0,2.0,1734,3.0,2,5.0,0.0,2.0,1734,0,1.0,1734,1300,7,2005,0,3.0,2005,2.0,5.0,11645,0.0,660,0,1,3.0,5.0,24,260000
5,2,3.0,4.0,1385,1.0,2,1.0,0.0,3.0,910,475,1.0,910,507,6,1952,0,3.0,1952,5.0,5.0,8520,3.0,720,0,1,3.0,12.0,0,166000
